* Sea-Bird SBE37 Data File:
* FileName = C:\BOEM\SB37\BOEMTest1_062923_063023\SB37_BOEMtest1.0.asc
* Software Version 1.59
* Temperature SN = 1308
* Conductivity SN = 1308
* System UpLoad Time = Jun 30 2023 14:31:26
** BOEMTest1
* ds
* SBE37-SM V 2.6b  SERIAL NO. 1308    30 Jun 2023  14:30:51
* not logging: received stop command
* sample interval = 60 seconds
* samplenumber = 1705, free = 188945
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump is installed
* temperature = 25.75 deg C

* S>
* SBE37-SM V 2.6b  1308
* temperature:  09-jan-14
*     TA0 = -1.041479e-04
*     TA1 = 3.070688e-04
*     TA2 = -4.447841e-06
*     TA3 = 1.996867e-07
* conductivity:  09-jan-14
*     G = -1.052229e+00
*     H = 1.583344e-01
*     I = -3.976814e-05
*     J = 3.120246e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = -2.976320e-05
* pressure S/N 3804072, range = 160 psia:  06-jan-14
*     PA0 = -1.023833e-01
*     PA1 = 6.955435e-03
*     PA2 = -1.840500e-09
*     PTCA0 = 8.236864e+01
*     PTCA1 = -7.817787e-01
*     PTCA2 = 4.657767e-03
*     PTCSB0 = 2.503525e+01
*     PTCSB1 = -5.500000e-04
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  09-jan-14
*     RTCA0 = 1.000002e+00
*     RTCA1 = 1.631725e-06
*     RTCA2 = -3.431964e-08

* S> 
*END*
start time =  29 Jun 2023  10:00:01
sample interval = 60 seconds
start sample number = 1
 26.4106, 5.54945,   14.959,  35.6789, 29 Jun 2023, 12:38:01
 26.4142, 5.54887,   15.110,  35.6719, 29 Jun 2023, 12:39:01
 26.4139, 5.54972,   15.243,  35.6782, 29 Jun 2023, 12:40:01
 26.4135, 5.55005,   15.259,  35.6809, 29 Jun 2023, 12:41:01
 26.4139, 5.54994,   15.307,  35.6798, 29 Jun 2023, 12:42:01
 26.4173, 5.55030,   15.113,  35.6798, 29 Jun 2023, 12:43:01
 26.4105, 5.55079,   15.304,  35.6886, 29 Jun 2023, 12:44:01
 26.4146, 5.55068,   15.261,  35.6846, 29 Jun 2023, 12:45:01
 26.4192, 5.55059,   15.200,  35.6804, 29 Jun 2023, 12:46:01
 26.4189, 5.55066,   15.142,  35.6812, 29 Jun 2023, 12:47:01
 26.4186, 5.55086,   15.302,  35.6828, 29 Jun 2023, 12:48:01
 26.4199, 5.55101,   15.248,  35.6829, 29 Jun 2023, 12:49:01
 26.4107, 5.55145,   15.394,  35.6932, 29 Jun 2023, 12:50:01
 26.4156, 5.55125,   15.246,  35.6880, 29 Jun 2023, 12:51:01
 26.4190, 5.55108,   15.254,  35.6841, 29 Jun 2023, 12:52:01
 26.4110, 5.55106,   15.367,  35.6902, 29 Jun 2023, 12:53:01
 26.4138, 5.55144,   15.284,  35.6908, 29 Jun 2023, 12:54:01
 26.4130, 5.55126,   15.392,  35.6900, 29 Jun 2023, 12:55:01
 26.4146, 5.55072,   15.128,  35.6850, 29 Jun 2023, 12:56:01
 26.4174, 5.55155,   15.164,  35.6888, 29 Jun 2023, 12:57:01
 26.4164, 5.55193,   15.198,  35.6923, 29 Jun 2023, 12:58:01
 26.4136, 5.55186,   15.437,  35.6939, 29 Jun 2023, 12:59:01
 26.4186, 5.55193,   15.514,  35.6905, 29 Jun 2023, 13:00:01
 26.4186, 5.55246,   15.385,  35.6944, 29 Jun 2023, 13:01:01
 26.4164, 5.55251,   15.356,  35.6965, 29 Jun 2023, 13:02:01
 26.4175, 5.55261,   15.428,  35.6963, 29 Jun 2023, 13:03:01
 26.4205, 5.55266,   15.250,  35.6944, 29 Jun 2023, 13:04:01
 26.4183, 5.55290,   15.349,  35.6978, 29 Jun 2023, 13:05:01
 26.4195, 5.55281,   15.329,  35.6962, 29 Jun 2023, 13:06:01
 26.4253, 5.55291,   15.318,  35.6925, 29 Jun 2023, 13:07:01
 26.4203, 5.55308,   15.349,  35.6976, 29 Jun 2023, 13:08:01
 26.4241, 5.55293,   15.280,  35.6936, 29 Jun 2023, 13:09:01
 26.4226, 5.55302,   15.293,  35.6954, 29 Jun 2023, 13:10:01
 26.4209, 5.55319,   15.505,  35.6979, 29 Jun 2023, 13:11:01
 26.4202, 5.55304,   15.460,  35.6973, 29 Jun 2023, 13:12:01
 26.4183, 5.55311,   15.620,  35.6993, 29 Jun 2023, 13:13:01
 26.4235, 5.55297,   15.509,  35.6943, 29 Jun 2023, 13:14:01
 26.4201, 5.55315,   15.538,  35.6982, 29 Jun 2023, 13:15:01
 26.4248, 5.55337,   15.327,  35.6962, 29 Jun 2023, 13:16:01
 26.4254, 5.55333,   15.280,  35.6955, 29 Jun 2023, 13:17:01
 26.4273, 5.55370,   15.379,  35.6966, 29 Jun 2023, 13:18:01
 26.4232, 5.55366,   15.293,  35.6995, 29 Jun 2023, 13:19:01
 26.4233, 5.55330,   15.333,  35.6969, 29 Jun 2023, 13:20:01
 26.4222, 5.55359,   15.315,  35.6998, 29 Jun 2023, 13:21:01
 26.4199, 5.55293,   15.248,  35.6968, 29 Jun 2023, 13:22:01
 26.4188, 5.55359,   15.559,  35.7024, 29 Jun 2023, 13:23:01
 26.4160, 5.55353,   15.635,  35.7041, 29 Jun 2023, 13:24:01
 26.4200, 5.55364,   15.530,  35.7018, 29 Jun 2023, 13:25:01
 26.4218, 5.55359,   15.451,  35.7001, 29 Jun 2023, 13:26:01
 26.4242, 5.55382,   15.426,  35.6999, 29 Jun 2023, 13:27:01
 26.4256, 5.55389,   15.379,  35.6993, 29 Jun 2023, 13:28:01
 26.4199, 5.55411,   15.480,  35.7053, 29 Jun 2023, 13:29:01
 26.4219, 5.55402,   15.406,  35.7031, 29 Jun 2023, 13:30:01
 26.4222, 5.55400,   15.304,  35.7028, 29 Jun 2023, 13:31:01
 26.4204, 5.55404,   15.342,  35.7045, 29 Jun 2023, 13:32:01
 26.4243, 5.55402,   15.473,  35.7012, 29 Jun 2023, 13:33:01
 26.4283, 5.55408,   15.439,  35.6986, 29 Jun 2023, 13:34:01
 26.4232, 5.55439,   15.662,  35.7047, 29 Jun 2023, 13:35:01
 26.4256, 5.55429,   15.545,  35.7022, 29 Jun 2023, 13:36:01
 26.4227, 5.55439,   15.597,  35.7051, 29 Jun 2023, 13:37:01
 26.4268, 5.55446,   15.383,  35.7025, 29 Jun 2023, 13:38:01
 26.4268, 5.55458,   15.423,  35.7034, 29 Jun 2023, 13:39:01
 26.4294, 5.55442,   15.385,  35.7002, 29 Jun 2023, 13:40:01
 26.4267, 5.55478,   15.394,  35.7049, 29 Jun 2023, 13:41:01
 26.4271, 5.55489,   15.575,  35.7054, 29 Jun 2023, 13:42:01
 26.4228, 5.55489,   15.464,  35.7087, 29 Jun 2023, 13:43:01
 26.4225, 5.55466,   15.619,  35.7072, 29 Jun 2023, 13:44:01
 26.4246, 5.55469,   15.502,  35.7059, 29 Jun 2023, 13:45:01
 26.4272, 5.55484,   15.662,  35.7049, 29 Jun 2023, 13:46:01
 26.4272, 5.55484,   15.620,  35.7049, 29 Jun 2023, 13:47:01
 26.4257, 5.55506,   15.494,  35.7077, 29 Jun 2023, 13:48:01
 26.4236, 5.55517,   15.676,  35.7101, 29 Jun 2023, 13:49:01
 26.4284, 5.55495,   15.521,  35.7048, 29 Jun 2023, 13:50:01
 26.4272, 5.55498,   15.494,  35.7059, 29 Jun 2023, 13:51:01
 26.4282, 5.55500,   15.423,  35.7053, 29 Jun 2023, 13:52:00
 26.4308, 5.55513,   15.514,  35.7042, 29 Jun 2023, 13:53:00
 26.4294, 5.55504,   15.455,  35.7047, 29 Jun 2023, 13:54:00
 26.4329, 5.55540,   15.512,  35.7046, 29 Jun 2023, 13:55:00
 26.4281, 5.55551,   15.442,  35.7091, 29 Jun 2023, 13:56:00
 26.4308, 5.55560,   15.523,  35.7076, 29 Jun 2023, 13:57:00
 26.4286, 5.55544,   15.716,  35.7081, 29 Jun 2023, 13:58:00
 26.4301, 5.55542,   15.379,  35.7069, 29 Jun 2023, 13:59:00
 26.4304, 5.55560,   15.680,  35.7079, 29 Jun 2023, 14:00:00
